date,year,month,month_num,sa_1st,sa_2nd,sa_3rd,sa_rev_2nd_minus_1st,sa_rev_3rd_minus_2nd,sa_rev_3rd_minus_1st,nsa_1st,nsa_2nd,nsa_3rd,nsa_rev_2nd_minus_1st,nsa_rev_3rd_minus_2nd,nsa_rev_3rd_minus_1st,source_url,scraped_at
1985-12-01,1985,Dec.,12,320.0,268.0,285.0,-52.0,17.0,-35.0,173.0,122.0,139.0,-51.0,17.0,-34.0,https://www.bls.gov/web/empsit/cesnaicsrev.htm,2026-07-02T12:47:13.495645+00:00
1986-01-01,1986,Jan.,1,566.0,421.0,410.0,-145.0,-11.0,-156.0,-1542.0,-1683.0,-1694.0,-141.0,-11.0,-152.0,https://www.bls.gov/web/empsit/cesnaicsrev.htm,2026-07-02T12:47:13.495645+00:00
1986-02-01,1986,Feb.,2,226.0,153.0,160.0,-73.0,7.0,-66.0,286.0,220.0,225.0,-66.0,5.0,-61.0,https://www.bls.gov/web/empsit/cesnaicsrev.htm,2026-07-02T12:47:13.495645+00:00
1986-03-01,1986,Mar.,3,192.0,178.0,55.0,-14.0,-123.0,-137.0,678.0,662.0,357.0,-16.0,-305.0,-321.0,https://www.bls.gov/web/empsit/cesnaicsrev.htm,2026-07-02T12:47:13.495645+00:00
1986-04-01,1986,Apr.,4,206.0,313.0,299.0,107.0,-14.0,93.0,895.0,952.0,936.0,57.0,-16.0,41.0,https://www.bls.gov/web/empsit/cesnaicsrev.htm,2026-07-02T12:47:13.495645+00:00
1986-05-01,1986,May,5,149.0,125.0,135.0,-24.0,10.0,-14.0,801.0,780.0,788.0,-21.0,8.0,-13.0,https://www.bls.gov/web/empsit/cesnaicsrev.htm,2026-07-02T12:47:13.495645+00:00
1986-06-01,1986,Jun.,6,-89.0,-54.0,-75.0,35.0,-21.0,14.0,395.0,434.0,411.0,39.0,-23.0,16.0,https://www.bls.gov/web/empsit/cesnaicsrev.htm,2026-07-02T12:47:13.495645+00:00
1986-07-01,1986,Jul.,7,389.0,279.0,262.0,-110.0,-17.0,-127.0,-631.0,-736.0,-754.0,-105.0,-18.0,-123.0,https://www.bls.gov/web/empsit/cesnaicsrev.htm,2026-07-02T12:47:13.495645+00:00
1986-08-01,1986,Aug.,8,202.0,156.0,178.0,-46.0,22.0,-24.0,216.0,170.0,191.0,-46.0,21.0,-25.0,https://www.bls.gov/web/empsit/cesnaicsrev.htm,2026-07-02T12:47:13.495645+00:00
1986-09-01,1986,Sep.,9,107.0,165.0,277.0,58.0,112.0,170.0,731.0,788.0,900.0,57.0,112.0,169.0,https://www.bls.gov/web/empsit/cesnaicsrev.htm,2026-07-02T12:47:13.495645+00:00
1986-10-01,1986,Oct.,10,298.0,260.0,266.0,-38.0,6.0,-32.0,537.0,498.0,506.0,-39.0,8.0,-31.0,https://www.bls.gov/web/empsit/cesnaicsrev.htm,2026-07-02T12:47:13.495645+00:00
1986-11-01,1986,Nov.,11,249.0,239.0,242.0,-10.0,3.0,-7.0,289.0,279.0,284.0,-10.0,5.0,-5.0,https://www.bls.gov/web/empsit/cesnaicsrev.htm,2026-07-02T12:47:13.495645+00:00
1986-12-01,1986,Dec.,12,269.0,225.0,254.0,-44.0,29.0,-15.0,117.0,69.0,96.0,-48.0,27.0,-21.0,https://www.bls.gov/web/empsit/cesnaicsrev.htm,2026-07-02T12:47:13.495645+00:00
1987-01-01,1987,Jan.,1,448.0,319.0,304.0,-129.0,-15.0,-144.0,-1652.0,-1775.0,-1790.0,-123.0,-15.0,-138.0,https://www.bls.gov/web/empsit/cesnaicsrev.htm,2026-07-02T12:47:13.495645+00:00
1987-02-01,1987,Feb.,2,337.0,236.0,228.0,-101.0,-8.0,-109.0,410.0,315.0,309.0,-95.0,-6.0,-101.0,https://www.bls.gov/web/empsit/cesnaicsrev.htm,2026-07-02T12:47:13.495645+00:00
1987-03-01,1987,Mar.,3,164.0,155.0,179.0,-9.0,24.0,15.0,648.0,637.0,-32.0,-11.0,-669.0,-680.0,https://www.bls.gov/web/empsit/cesnaicsrev.htm,2026-07-02T12:47:13.495645+00:00
1987-04-01,1987,Apr.,4,316.0,280.0,269.0,-36.0,-11.0,-47.0,960.0,928.0,919.0,-32.0,-9.0,-41.0,https://www.bls.gov/web/empsit/cesnaicsrev.htm,2026-07-02T12:47:13.495645+00:00
1987-05-01,1987,May,5,123.0,74.0,110.0,-49.0,36.0,-13.0,774.0,722.0,759.0,-52.0,37.0,-15.0,https://www.bls.gov/web/empsit/cesnaicsrev.htm,2026-07-02T12:47:13.495645+00:00
1987-06-01,1987,Jun.,6,116.0,103.0,110.0,-13.0,7.0,-6.0,567.0,556.0,564.0,-11.0,8.0,-3.0,https://www.bls.gov/web/empsit/cesnaicsrev.htm,2026-07-02T12:47:13.495645+00:00
1987-07-01,1987,Jul.,7,304.0,296.0,308.0,-8.0,12.0,4.0,-764.0,-770.0,-757.0,-6.0,13.0,7.0,https://www.bls.gov/web/empsit/cesnaicsrev.htm,2026-07-02T12:47:13.495645+00:00
1987-08-01,1987,Aug.,8,156.0,152.0,149.0,-4.0,-3.0,-7.0,214.0,207.0,205.0,-7.0,-2.0,-9.0,https://www.bls.gov/web/empsit/cesnaicsrev.htm,2026-07-02T12:47:13.495645+00:00
1987-09-01,1987,Sep.,9,132.0,121.0,159.0,-11.0,38.0,27.0,771.0,761.0,803.0,-10.0,42.0,32.0,https://www.bls.gov/web/empsit/cesnaicsrev.htm,2026-07-02T12:47:13.495645+00:00
1987-10-01,1987,Oct.,10,549.0,536.0,549.0,-13.0,13.0,0.0,836.0,818.0,832.0,-18.0,14.0,-4.0,https://www.bls.gov/web/empsit/cesnaicsrev.htm,2026-07-02T12:47:13.495645+00:00
1987-11-01,1987,Nov.,11,274.0,263.0,302.0,-11.0,39.0,28.0,322.0,306.0,347.0,-16.0,41.0,25.0,https://www.bls.gov/web/empsit/cesnaicsrev.htm,2026-07-02T12:47:13.495645+00:00
1987-12-01,1987,Dec.,12,326.0,311.0,327.0,-15.0,16.0,1.0,240.0,223.0,239.0,-17.0,16.0,-1.0,https://www.bls.gov/web/empsit/cesnaicsrev.htm,2026-07-02T12:47:13.495645+00:00
1988-01-01,1988,Jan.,1,107.0,174.0,215.0,67.0,41.0,108.0,-2092.0,-2025.0,-1985.0,67.0,40.0,107.0,https://www.bls.gov/web/empsit/cesnaicsrev.htm,2026-07-02T12:47:13.495645+00:00
1988-02-01,1988,Feb.,2,531.0,517.0,538.0,-14.0,21.0,7.0,576.0,563.0,581.0,-13.0,18.0,5.0,https://www.bls.gov/web/empsit/cesnaicsrev.htm,2026-07-02T12:47:13.495645+00:00
1988-03-01,1988,Mar.,3,262.0,296.0,291.0,34.0,-5.0,29.0,747.0,785.0,1192.0,38.0,407.0,445.0,https://www.bls.gov/web/empsit/cesnaicsrev.htm,2026-07-02T12:47:13.495645+00:00
1988-04-01,1988,Apr.,4,174.0,249.0,261.0,75.0,12.0,87.0,854.0,983.0,998.0,129.0,15.0,144.0,https://www.bls.gov/web/empsit/cesnaicsrev.htm,2026-07-02T12:47:13.495645+00:00
